FRC,ITEM,DESCRIPTION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
DTC,0540695BX       ,HINGE BRACKET 1050/1196       ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,570068,EVENFLO HDWE BAG 1050/1050B/D ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,570098,1555/6 CATCH RPLCMT PARTS     ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,8411437,EV INFANT CARRIER CREAMSICLE  ,1.36,4.48,0.15,0.74,1.57,1.31,1.3,1.75,1.75,1.75,1.75,3.23
DTC,8511526,ACTIVE CARRIER LOOPSY         ,0.16,0,0.32,0.44,0.48,0.68,0.68,0.68,0.68,0.68,1.12,1.32
DTC,8611284,EVNFLO NATURAL FIT CAR BOULDER,0.08,1.46,0.42,0.33,0,0,0.37,0.17,0.33,0.67,0.83,0.62
DTC,8611523,NATURAL CARRIER KHAKI ORANGE  ,1.14,0.99,0.58,0.58,0.67,0.85,0.82,0.87,0.76,0.82,1.84,0.9
DTC,8911215,EVENFLO BREATH CARRIER KOI    ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,8911234,EVENFLO BREATH CARR MARIANNA  ,2.04,1.48,0.1,0.18,0.97,1.02,0.85,0.85,0.85,1.02,1.02,0.99
DTC,8911254,BREATH CARRIER GREY CHEVRON   ,0.99,2.55,0.25,0.83,1.11,1.3,1.61,1.53,1.53,1.73,2.86,1.74
DTC,8912179,BREATHABLE CARRIER GRAY MIST  ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,10110006,"RUBBER,BUMPER,SFTWD           ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,10110012,"RUBBER,BREAST SHIELD,SIMPLYGO ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,10110014,"RUBBER,SEAL DISC,CHECK VALVE  ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,10110208,"RETURN STRAP,SILICONE,SIMPLYGO",0,0,0,0,0,0,0,0,0,0,0,0
DTC,10110209,"PISTON SEAL,SILICONE,U-SHAPE  ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,10110433,"DIAPHRAGM,ADV DBL EBP         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,10110434,"SOFT INSERT,24.5MM,ADV DBL EBP",0,0,0,0,0,0,0,0,0,0,0,0
DTC,10110435,"SOFT INSERT,28.0MM,ADV DBL EBP",0,0,0,0,0,0,0,0,0,0,0,0
DTC,10110436,"TUBING,ADV DBL ELEC BP        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,1014111,40Z;1PK;TWIST GLASS NURSER    ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,1014311,GLASS TWIST BOTTLE 4 OZ 3 PACK,0,0,0,0,0,0,0,0,0,0,0,0
DTC,1018311,GLASS TWIST BOTTLE 8OZ PACK   ,0,0,0,0,0,0,0,0,0,0,0,0
