ITEM,DESCRIPTION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
8411437,EV INFANT CARRIER CREAMSICLE  ,40,162,258,208,365,962,2150,2150,1035,597,1584,1200
8511526,ACTIVE CARRIER LOOPSY         ,0,0,0,0,10,15,20,10,10,10,10,10
8611284,EVNFLO NATURAL FIT CAR BOULDER,0,2,2,2,2,0,1,16,29,20,5,14
8611523,NATURAL CARRIER KHAKI ORANGE  ,0,49,51,55,55,94,107,100,3,103,10,15
8911215,EVENFLO BREATH CARRIER KOI    ,0,254,330,279,200,192,200,200,200,200,135,96
8911234,EVENFLO BREATH CARR MARIANNA  ,0,444,562,296,296,286,311,311,138,258,188,381
8911254,BREATH CARRIER GREY CHEVRON   ,17,1733,1034,931,1500,1444,1250,1250,612,441,620,1486
8912179,BREATHABLE CARRIER GRAY MIST  ,0,0,0,0,0,0,0,0,0,0,0,0
1050310,TOP OF STAIR X-TALL GATE .COM ,0,0,0,0,0,0,0,0,0,0,0,0
1050500,TOP OF STAIR EXTRA TALL BOX   ,50,211,225,211,211,193,325,325,268,454,236,555
1051600,TOP OF STAIRS FARMHOUSE       ,0,0,0,0,0,0,0,0,0,0,0,335
1051610,TOP OF STAIRS FARMHOUSE       ,0,523,548,574,603,636,400,400,119,309,318,320
10AT2G-MID4U    ,GB Evoq Travel System - Midnig,0,0,0,0,0,0,0,0,0,0,0,0
10EA1Y-REDU     ,Urbini Omni Plus TS Red       ,0,0,0,0,0,0,0,0,0,0,0,0
10EA2Y-HTGU     ,Urbini Omni Plus TS SE HtherGr,0,0,0,0,0,0,0,0,0,0,0,0
10EA2Y-PMLU     ,OMNI PLUS TS SONTI RSPBRRY FZZ,0,0,0,0,0,0,0,0,0,0,0,0
10EA3Y-ALGU     ,OMNI PLUS TS ALLOY GRAY       ,0,0,0,0,0,0,0,0,0,0,0,0
10EA3Y-CRDU     ,OMNI PLUS TS CLASSIC RED      ,0,0,0,0,0,0,0,0,0,0,0,0
10EA3Y-FJBU     ,OMNI PLUS TS FJORD BLUE       ,0,0,0,0,0,0,0,0,0,0,0,0
10EA3Y-HTGU     ,OMNI PLUS TS HEATHERGRY REFRSH,800,0,0,0,0,0,0,0,0,0,0,0
10EA3Y-PMLU     ,OMNI PLUS TS RASPBRYFIZ REFRSH,1723,0,0,0,0,0,0,0,0,0,0,0
10EB1Y-FOGU     ,Urbini Reversi Stroller;Fog   ,0,0,0,0,0,0,0,0,0,0,0,0
10EB2Y-BWMU     ,REVERSI STROLLER BLUEBRRY FIZZ,135,0,0,0,0,0,0,0,0,0,0,0
10EB2Y-PMLU     ,REVERSI STROLLER PINKBRRY FIZZ,0,0,0,0,0,0,0,0,0,0,0,0
10EC1Y-FOGU     ,Urbini Swiftli Stroller;Fog   ,0,0,0,0,0,0,0,0,0,0,0,0
10EC1Y-VIAU     ,Urbini Swiftli Stroller;Viola ,0,0,0,0,0,0,0,0,0,0,0,0
10EG1Y-TLKU     ,Urbini Turni TravelSystem Teal,0,0,0,0,0,0,0,0,0,0,0,0
10EG2Y-CLOU     ,TURNI TS SONTI CLOVER         ,0,0,0,0,0,0,0,0,0,0,0,0
10EG2Y-FRTU     ,TURNI TS SONTI FROSTED TULIP  ,0,0,0,0,0,0,0,0,0,0,0,0
